Infozone Retail,Retail,Eyewear,Noida,"Sequoia, Lightspeed, Blackstone",Series E,$290M,2023-08-20,$290M,"Sequoia, Lightspeed, Blackstone",N/A,Loss narrowing,Leading eyewear platform
Primepoint Edtech,Edtech,Coding Education,Noida,"Temasek, TPG, Lightspeed",Series B,$643M,2023-06-06,$643M,"Temasek, TPG, Lightspeed",N/A,Strong growth,Leading coding education platform
Goworks Fintech,Fintech,Stock Trading,Mumbai,Temasek,Series D,$217M,2023-09-28,$217M,Temasek,N/A,Market leader,Leading stock trading platform
Dataster Healthtech,Healthtech,Fitness & Wellness,Bengaluru,KKR,Seed,$909M,2023-11-22,$909M,KKR,N/A,Strong growth,Leading fitness & wellness platform
Quickzone Consumer,Consumer Electronics,Audio Devices,Chennai,"Blackstone, Temasek",Series A,$350M,2023-06-12,$350M,"Blackstone, Temasek",N/A,Profitability,Leading audio devices platform
Techpoint Foodtech,Foodtech,Meat Delivery,Pune,Accel,Series C,$220M,2023-12-27,$220M,Accel,N/A,Market leader,Leading meat delivery platform
Smartworks Logistics,Logistics,Supply Chain,Gurgaon,"Sequoia, KKR",Series D,$292M,2023-12-24,$292M,"Sequoia, KKR",N/A,Strong growth,Leading supply chain platform
Smartdrive Consumer,Consumer Electronics,Wearables,Gurgaon,"Temasek, Accel, Blackstone",Series F,$363M,2023-08-11,$363M,"Temasek, Accel, Blackstone",N/A,Loss narrowing,Leading wearables platform
Goster Mobility,Mobility,Bike Taxi,Mumbai,Accel,Series E,$226M,2023-05-18,$226M,Accel,N/A,Market leader,Leading bike taxi platform
Netpoint Consumer,Consumer Electronics,Audio Devices,Hyderabad,"Prosus, TPG",Series H,$726M,2023-08-01,$726M,"Prosus, TPG",N/A,Profitability,Leading audio devices platform
Primely E-commerce,E-commerce,Online Retail,Mumbai,"Temasek, KKR, TPG",Series B,$396M,2023-08-02,$396M,"Temasek, KKR, TPG",N/A,Market leader,Leading online retail platform
Infoify Mobility,Mobility,Electric Vehicles,Delhi,"Temasek, SoftBank",Seed,$889M,2023-07-02,$889M,"Temasek, SoftBank",N/A,Profitability,Leading electric vehicles platform
Nexthub Consumer,Consumer Electronics,Wearables,Gurgaon,"TPG, KKR",Seed,$526M,2023-05-09,$526M,"TPG, KKR",N/A,Market leader,Leading wearables platform
Primelabs Consumer,Consumer Electronics,Smart Home,Delhi,Accel,Series H,$878M,2023-02-24,$878M,Accel,N/A,Market leader,Leading smart home platform
Dataster E-commerce,E-commerce,Baby Products,Bengaluru,Blackstone,Series G,$719M,2023-01-28,$719M,Blackstone,N/A,Strong growth,Leading baby products platform
Gohub Consumer,Consumer Electronics,Audio Devices,Bengaluru,"Accel, Lightspeed, Blackstone",Series D,$533M,2023-04-01,$533M,"Accel, Lightspeed, Blackstone",N/A,Strong growth,Leading audio devices platform
Nextlabs Mobility,Mobility,Electric Vehicles,Mumbai,Temasek,Series J,$852M,2023-07-18,$852M,Temasek,N/A,Profitability,Leading electric vehicles platform
Techworks Consumer,Consumer Electronics,Wearables,Gurgaon,"Lightspeed, Prosus, Accel",Series G,$855M,2023-08-21,$855M,"Lightspeed, Prosus, Accel",N/A,Strong growth,Leading wearables platform
Infolabs Foodtech,Foodtech,Online Food Delivery,Hyderabad,"KKR, Tiger Global",Series H,$254M,2023-01-03,$254M,"KKR, Tiger Global",N/A,Loss narrowing,Leading online food delivery platform
Easyhub Mobility,Mobility,Bike Taxi,Mumbai,"Prosus, Sequoia, Lightspeed",Series C,$934M,2023-07-02,$934M,"Prosus, Sequoia, Lightspeed",N/A,Strong growth,Leading bike taxi platform
Godrive Fintech,Fintech,Wealth Management,Hyderabad,"Tiger Global, Sequoia",Series E,$304M,2023-09-03,$304M,"Tiger Global, Sequoia",N/A,Profitability,Leading wealth management platform
Nextbase Fintech,Fintech,Stock Trading,Gurgaon,"Accel, Sequoia",Series F,$452M,2023-03-01,$452M,"Accel, Sequoia",N/A,Profitability,Leading stock trading platform
Nextzone Logistics,Logistics,Supply Chain,Pune,"SoftBank, Sequoia, Temasek",Series E,$876M,2023-04-03,$876M,"SoftBank, Sequoia, Temasek",N/A,Profitability,Leading supply chain platform
Dataster Consumer,Consumer Electronics,Wearables,Pune,"KKR, Sequoia, Blackstone",Series H,$758M,2023-09-14,$758M,"KKR, Sequoia, Blackstone",N/A,Strong growth,Leading wearables platform
Techpoint Fintech,Fintech,Cryptocurrency,Chennai,"Temasek, Lightspeed",Series J,$740M,2023-11-04,$740M,"Temasek, Lightspeed",N/A,Profitability,Leading cryptocurrency platform
Easylabs E-commerce,E-commerce,Fashion,Hyderabad,Tiger Global,Series J,$438M,2023-10-16,$438M,Tiger Global,N/A,Strong growth,Leading fashion platform
Nextworks Services,Services,Healthcare Services,Chennai,"SoftBank, Temasek, Tiger Global",Series A,$432M,2023-04-26,$432M,"SoftBank, Temasek, Tiger Global",N/A,Market leader,Leading healthcare services platform
Easylabs Fintech,Fintech,Insurtech,Mumbai,"Temasek, SoftBank, Prosus",Series B,$803M,2023-06-13,$803M,"Temasek, SoftBank, Prosus",N/A,Market leader,Leading insurtech platform
Netster Logistics,Logistics,Parcel Delivery,Noida,"Blackstone, KKR, Accel",Series A,$413M,2023-01-13,$413M,"Blackstone, KKR, Accel",N/A,Market leader,Leading parcel delivery platform
Datapoint Consumer,Consumer Electronics,Wearables,Noida,"Tiger Global, Blackstone, Temasek",Series G,$347M,2023-04-14,$347M,"Tiger Global, Blackstone, Temasek",N/A,Loss narrowing,Leading wearables platform
Easybase Services,Services,Healthcare Services,Chennai,"Blackstone, Temasek, Prosus",Series G,$410M,2023-05-25,$410M,"Blackstone, Temasek, Prosus",N/A,Loss narrowing,Leading healthcare services platform
Dataify Fintech,Fintech,Wealth Management,Delhi,"KKR, Prosus, Accel",Series J,$619M,2023-02-06,$619M,"KKR, Prosus, Accel",N/A,Strong growth,Leading wealth management platform
Techify E-commerce,E-commerce,Fashion,Delhi,SoftBank,Series H,$544M,2023-12-10,$544M,SoftBank,N/A,Strong growth,Leading fashion platform
Netster Healthtech,Healthtech,Healthcare Services,Hyderabad,"Blackstone, TPG",Series B,$294M,2023-08-07,$294M,"Blackstone, TPG",N/A,Market leader,Leading healthcare services platform
Techbase Mobility,Mobility,Bike Taxi,Bengaluru,"Tiger Global, Blackstone, KKR",Series E,$692M,2023-05-03,$692M,"Tiger Global, Blackstone, KKR",N/A,Strong growth,Leading bike taxi platform
Nextly Foodtech,Foodtech,Online Food Delivery,Delhi,"TPG, Prosus, Lightspeed",Series G,$936M,2023-09-16,$936M,"TPG, Prosus, Lightspeed",N/A,Profitability,Leading online food delivery platform
Infodrive Fintech,Fintech,Payments,Delhi,Temasek,Seed,$677M,2023-02-19,$677M,Temasek,N/A,Loss narrowing,Leading payments platform
Smartworks Fintech,Fintech,Wealth Management,Mumbai,"Blackstone, Accel",Series F,$340M,2023-09-16,$340M,"Blackstone, Accel",N/A,Market leader,Leading wealth management platform
Easyhub Services,Services,Beauty Services,Chennai,"Sequoia, Tiger Global",Series D,$657M,2023-07-06,$657M,"Sequoia, Tiger Global",N/A,Market leader,Leading beauty services platform
Infoify Consumer,Consumer Electronics,Audio Devices,Bengaluru,"Tiger Global, Lightspeed, Accel",Series J,$804M,2023-05-15,$804M,"Tiger Global, Lightspeed, Accel",N/A,Strong growth,Leading audio devices platform
Quickster Logistics,Logistics,Supply Chain,Noida,"Accel, Lightspeed, Sequoia",Series C,$303M,2023-02-08,$303M,"Accel, Lightspeed, Sequoia",N/A,Market leader,Leading supply chain platform
Quickdrive Logistics,Logistics,Supply Chain,Chennai,"SoftBank, Accel",Series F,$462M,2023-10-26,$462M,"SoftBank, Accel",N/A,Loss narrowing,Leading supply chain platform
Datazone Fintech,Fintech,Wealth Management,Chennai,"KKR, Temasek",Series J,$782M,2023-01-25,$782M,"KKR, Temasek",N/A,Profitability,Leading wealth management platform
Techworks Logistics,Logistics,Supply Chain,Bengaluru,"SoftBank, Temasek, KKR",Series H,$408M,2023-11-15,$408M,"SoftBank, Temasek, KKR",N/A,Profitability,Leading supply chain platform
Smartly Healthtech,Healthtech,Healthcare Services,Delhi,"Tiger Global, Lightspeed",Series H,$511M,2023-02-10,$511M,"Tiger Global, Lightspeed",N/A,Strong growth,Leading healthcare services platform
Smartpoint E-commerce,E-commerce,Baby Products,Hyderabad,"Accel, Sequoia",Series F,$941M,2023-02-19,$941M,"Accel, Sequoia",N/A,Loss narrowing,Leading baby products platform
Infoworks Mobility,Mobility,Ride-Hailing,Hyderabad,Accel,Series F,$653M,2023-11-20,$653M,Accel,N/A,Strong growth,Leading ride-hailing platform
Nextify Consumer,Consumer Electronics,Audio Devices,Bengaluru,Tiger Global,Series C,$811M,2023-08-24,$811M,Tiger Global,N/A,Profitability,Leading audio devices platform
Nextster Services,Services,Home Services,Delhi,"KKR, Sequoia",Series J,$939M,2023-06-20,$939M,"KKR, Sequoia",N/A,Profitability,Leading home services platform
Quickdrive Logistics,Logistics,Supply Chain,Hyderabad,"SoftBank, Sequoia",Series G,$590M,2023-06-20,$590M,"SoftBank, Sequoia",N/A,Strong growth,Leading supply chain platform
Easydrive Mobility,Mobility,Scooter Rentals,Delhi,"Lightspeed, Blackstone",Series B,$828M,2023-06-24,$828M,"Lightspeed, Blackstone",N/A,Profitability,Leading scooter rentals platform
Goify Fintech,Fintech,Lending,Noida,"Accel, Temasek, KKR",Series G,$708M,2023-03-12,$708M,"Accel, Temasek, KKR",N/A,Loss narrowing,Leading lending platform
Nethub Retail,Retail,Beauty & Personal Care,Pune,"Tiger Global, Prosus, TPG",Series B,$702M,2023-03-08,$702M,"Tiger Global, Prosus, TPG",N/A,Strong growth,Leading beauty & personal care platform
Infolabs Fintech,Fintech,Lending,Delhi,Lightspeed,Seed,$410M,2023-06-15,$410M,Lightspeed,N/A,Profitability,Leading lending platform
Easyzone Foodtech,Foodtech,Cloud Kitchen,Bengaluru,"KKR, TPG, SoftBank",Series F,$885M,2023-06-17,$885M,"KKR, TPG, SoftBank",N/A,Strong growth,Leading cloud kitchen platform
Techly Healthtech,Healthtech,Healthcare Services,Delhi,"Prosus, TPG",Series H,$690M,2023-07-05,$690M,"Prosus, TPG",N/A,Strong growth,Leading healthcare services platform
Primeify Edtech,Edtech,Online Learning,Pune,SoftBank,Series A,$342M,2023-04-04,$342M,SoftBank,N/A,Profitability,Leading online learning platform
Easypoint Foodtech,Foodtech,Online Food Delivery,Pune,"Blackstone, Temasek, Tiger Global",Series D,$936M,2023-09-21,$936M,"Blackstone, Temasek, Tiger Global",N/A,Strong growth,Leading online food delivery platform
Primester E-commerce,E-commerce,Fashion,Noida,"Tiger Global, Blackstone, Accel",Series E,$234M,2023-04-21,$234M,"Tiger Global, Blackstone, Accel",N/A,Strong growth,Leading fashion platform
Netlabs Retail,Retail,Furniture,Bengaluru,"Prosus, Sequoia, Blackstone",Series J,$651M,2023-11-19,$651M,"Prosus, Sequoia, Blackstone",N/A,Strong growth,Leading furniture platform
Easyworks Logistics,Logistics,Supply Chain,Mumbai,"Blackstone, TPG, Temasek",Series F,$710M,2023-03-13,$710M,"Blackstone, TPG, Temasek",N/A,Market leader,Leading supply chain platform
Primeify Mobility,Mobility,Ride-Hailing,Noida,"Sequoia, SoftBank, Blackstone",Series A,$592M,2023-09-14,$592M,"Sequoia, SoftBank, Blackstone",N/A,Strong growth,Leading ride-hailing platform
Infoster Logistics,Logistics,Trucking,Chennai,"Temasek, Lightspeed, TPG",Series B,$701M,2023-01-13,$701M,"Temasek, Lightspeed, TPG",N/A,Loss narrowing,Leading trucking platform
Techster Edtech,Edtech,Coding Education,Mumbai,"SoftBank, Sequoia, Lightspeed",Series H,$720M,2023-10-22,$720M,"SoftBank, Sequoia, Lightspeed",N/A,Profitability,Leading coding education platform
Quickdrive E-commerce,E-commerce,Baby Products,Hyderabad,"Temasek, Prosus, SoftBank",Series G,$771M,2023-11-23,$771M,"Temasek, Prosus, SoftBank",N/A,Market leader,Leading baby products platform
Quickbase Services,Services,Beauty Services,Gurgaon,Blackstone,Seed,$569M,2023-10-10,$569M,Blackstone,N/A,Loss narrowing,Leading beauty services platform
Easydrive Healthtech,Healthtech,Fitness & Wellness,Noida,"Temasek, SoftBank",Series J,$540M,2023-09-04,$540M,"Temasek, SoftBank",N/A,Market leader,Leading fitness & wellness platform
Easypoint Mobility,Mobility,Scooter Rentals,Mumbai,"Blackstone, TPG, Temasek",Seed,$409M,2023-09-08,$409M,"Blackstone, TPG, Temasek",N/A,Loss narrowing,Leading scooter rentals platform
Techzone Retail,Retail,Furniture,Noida,Blackstone,Seed,$486M,2023-09-12,$486M,Blackstone,N/A,Market leader,Leading furniture platform
Primezone Edtech,Edtech,Professional Education,Pune,KKR,Series G,$971M,2023-03-21,$971M,KKR,N/A,Profitability,Leading professional education platform
Goworks Retail,Retail,Furniture,Hyderabad,"Accel, Prosus",Series E,$687M,2023-10-27,$687M,"Accel, Prosus",N/A,Strong growth,Leading furniture platform
Dataly E-commerce,E-commerce,Social Commerce,Noida,"Accel, TPG",Series D,$953M,2023-04-08,$953M,"Accel, TPG",N/A,Profitability,Leading social commerce platform
Goster Retail,Retail,Beauty & Personal Care,Chennai,"KKR, Accel, Blackstone",Series E,$597M,2023-12-28,$597M,"KKR, Accel, Blackstone",N/A,Loss narrowing,Leading beauty & personal care platform
Techzone Foodtech,Foodtech,Online Food Delivery,Bengaluru,"SoftBank, Tiger Global, Prosus",Series C,$542M,2023-04-21,$542M,"SoftBank, Tiger Global, Prosus",N/A,Strong growth,Leading online food delivery platform
Golabs Edtech,Edtech,Online Learning,Pune,"Sequoia, TPG, Blackstone",Series D,$739M,2023-01-14,$739M,"Sequoia, TPG, Blackstone",N/A,Loss narrowing,Leading online learning platform
Datahub Services,Services,Home Services,Noida,TPG,Series B,$502M,2023-05-23,$502M,TPG,N/A,Strong growth,Leading home services platform
Goly Services,Services,Healthcare Services,Gurgaon,"SoftBank, Prosus, TPG",Series J,$665M,2023-04-06,$665M,"SoftBank, Prosus, TPG",N/A,Strong growth,Leading healthcare services platform
Smartlabs Consumer,Consumer Electronics,Smart Home,Delhi,Sequoia,Series F,$834M,2023-02-04,$834M,Sequoia,N/A,Market leader,Leading smart home platform
Techify Foodtech,Foodtech,Cloud Kitchen,Hyderabad,"KKR, Sequoia",Seed,$832M,2023-04-16,$832M,"KKR, Sequoia",N/A,Market leader,Leading cloud kitchen platform
Techpoint Foodtech,Foodtech,Meat Delivery,Noida,TPG,Series H,$887M,2023-10-03,$887M,TPG,N/A,Market leader,Leading meat delivery platform
Dataster Mobility,Mobility,Scooter Rentals,Hyderabad,"Sequoia, Prosus",Series E,$278M,2023-11-18,$278M,"Sequoia, Prosus",N/A,Loss narrowing,Leading scooter rentals platform
Gobase Healthtech,Healthtech,Fitness & Wellness,Delhi,"Prosus, SoftBank, KKR",Series B,$742M,2023-02-01,$742M,"Prosus, SoftBank, KKR",N/A,Market leader,Leading fitness & wellness platform
Techster Foodtech,Foodtech,Cloud Kitchen,Delhi,Accel,Series A,$630M,2023-03-02,$630M,Accel,N/A,Profitability,Leading cloud kitchen platform
Netly Healthtech,Healthtech,Healthcare Services,Pune,"KKR, Temasek, SoftBank",Series G,$770M,2023-04-08,$770M,"KKR, Temasek, SoftBank",N/A,Strong growth,Leading healthcare services platform
Techify Consumer,Consumer Electronics,Wearables,Delhi,Sequoia,Series G,$904M,2023-10-12,$904M,Sequoia,N/A,Loss narrowing,Leading wearables platform
Techworks Mobility,Mobility,Bike Taxi,Delhi,Blackstone,Series G,$304M,2023-07-07,$304M,Blackstone,N/A,Strong growth,Leading bike taxi platform
Techster Healthtech,Healthtech,AI Diagnostics,Chennai,"Tiger Global, Temasek, KKR",Series B,$548M,2023-07-04,$548M,"Tiger Global, Temasek, KKR",N/A,Profitability,Leading ai diagnostics platform
Nextdrive Healthtech,Healthtech,Telemedicine,Delhi,"Prosus, Blackstone, SoftBank",Series A,$621M,2023-05-13,$621M,"Prosus, Blackstone, SoftBank",N/A,Loss narrowing,Leading telemedicine platform
Infoster Logistics,Logistics,Supply Chain,Gurgaon,Accel,Series D,$815M,2023-08-03,$815M,Accel,N/A,Loss narrowing,Leading supply chain platform
Netify Retail,Retail,Furniture,Mumbai,"KKR, Accel, Prosus",Seed,$926M,2023-01-11,$926M,"KKR, Accel, Prosus",N/A,Loss narrowing,Leading furniture platform
Netpoint Mobility,Mobility,Bike Taxi,Hyderabad,"Tiger Global, Prosus, KKR",Series C,$580M,2023-08-26,$580M,"Tiger Global, Prosus, KKR",N/A,Loss narrowing,Leading bike taxi platform
Quickify Mobility,Mobility,Ride-Hailing,Chennai,"Temasek, Lightspeed",Series H,$350M,2023-05-16,$350M,"Temasek, Lightspeed",N/A,Market leader,Leading ride-hailing platform
Smartdrive Foodtech,Foodtech,Meal Kits,Bengaluru,"Accel, Tiger Global",Series J,$891M,2023-01-09,$891M,"Accel, Tiger Global",N/A,Profitability,Leading meal kits platform
Goly Mobility,Mobility,Scooter Rentals,Pune,"Prosus, Accel, TPG",Series G,$584M,2023-12-08,$584M,"Prosus, Accel, TPG",N/A,Loss narrowing,Leading scooter rentals platform
Quickify E-commerce,E-commerce,Online Retail,Noida,KKR,Series F,$542M,2023-03-26,$542M,KKR,N/A,Market leader,Leading online retail platform
Techdrive Retail,Retail,Beauty & Personal Care,Hyderabad,"TPG, Sequoia",Series H,$973M,2023-02-01,$973M,"TPG, Sequoia",N/A,Loss narrowing,Leading beauty & personal care platform
Netster E-commerce,E-commerce,Social Commerce,Hyderabad,"Sequoia, Prosus",Series A,$651M,2023-12-24,$651M,"Sequoia, Prosus",N/A,Strong growth,Leading social commerce platform
Gopoint Retail,Retail,Furniture,Noida,"TPG, Prosus",Series J,$709M,2023-05-17,$709M,"TPG, Prosus",N/A,Strong growth,Leading furniture platform
Quickpoint Consumer,Consumer Electronics,Smart Home,Pune,"TPG, Sequoia, SoftBank",Series D,$530M,2023-07-06,$530M,"TPG, Sequoia, SoftBank",N/A,Profitability,Leading smart home platform
Nextlabs Consumer,Consumer Electronics,Audio Devices,Bengaluru,"TPG, Tiger Global, SoftBank",Series E,$893M,2023-10-02,$893M,"TPG, Tiger Global, SoftBank",N/A,Profitability,Leading audio devices platform
Netify Mobility,Mobility,Ride-Hailing,Hyderabad,Temasek,Series F,$380M,2023-07-21,$380M,Temasek,N/A,Profitability,Leading ride-hailing platform
Techlabs Foodtech,Foodtech,Meal Kits,Hyderabad,"TPG, KKR, Accel",Series G,$330M,2023-11-26,$330M,"TPG, KKR, Accel",N/A,Market leader,Leading meal kits platform
Infoify Foodtech,Foodtech,Cloud Kitchen,Noida,"Blackstone, Lightspeed, Accel",Series H,$723M,2023-08-27,$723M,"Blackstone, Lightspeed, Accel",N/A,Strong growth,Leading cloud kitchen platform
Primeify Logistics,Logistics,Parcel Delivery,Chennai,KKR,Series G,$871M,2023-01-25,$871M,KKR,N/A,Strong growth,Leading parcel delivery platform
Gobase Consumer,Consumer Electronics,Audio Devices,Bengaluru,"Sequoia, Tiger Global, Temasek",Series D,$595M,2023-05-27,$595M,"Sequoia, Tiger Global, Temasek",N/A,Loss narrowing,Leading audio devices platform
Nethub Edtech,Edtech,Coding Education,Noida,Accel,Series A,$938M,2023-02-21,$938M,Accel,N/A,Loss narrowing,Leading coding education platform
Nexthub Fintech,Fintech,Payments,Noida,SoftBank,Series A,$441M,2023-04-01,$441M,SoftBank,N/A,Loss narrowing,Leading payments platform
Primepoint Edtech,Edtech,Online Learning,Pune,"Temasek, KKR, Accel",Series G,$994M,2023-11-28,$994M,"Temasek, KKR, Accel",N/A,Profitability,Leading online learning platform
Nextzone E-commerce,E-commerce,Online Retail,Chennai,"Blackstone, Lightspeed",Series H,$560M,2023-04-16,$560M,"Blackstone, Lightspeed",N/A,Profitability,Leading online retail platform
Quickworks Fintech,Fintech,Payments,Mumbai,"Accel, Sequoia",Series D,$998M,2023-01-23,$998M,"Accel, Sequoia",N/A,Loss narrowing,Leading payments platform
Infoify Services,Services,Beauty Services,Mumbai,Temasek,Series A,$503M,2023-04-08,$503M,Temasek,N/A,Profitability,Leading beauty services platform
Quickzone E-commerce,E-commerce,Baby Products,Noida,"Prosus, Sequoia",Series E,$540M,2023-12-09,$540M,"Prosus, Sequoia",N/A,Loss narrowing,Leading baby products platform
Datahub Retail,Retail,Beauty & Personal Care,Hyderabad,Temasek,Series B,$264M,2023-07-23,$264M,Temasek,N/A,Strong growth,Leading beauty & personal care platform
Techdrive Healthtech,Healthtech,Telemedicine,Delhi,"Prosus, Accel",Series J,$767M,2023-04-06,$767M,"Prosus, Accel",N/A,Profitability,Leading telemedicine platform
Infoly Edtech,Edtech,Online Learning,Chennai,Temasek,Series H,$399M,2023-06-18,$399M,Temasek,N/A,Profitability,Leading online learning platform
Techdrive Mobility,Mobility,Bike Taxi,Mumbai,Sequoia,Series A,$397M,2023-03-28,$397M,Sequoia,N/A,Market leader,Leading bike taxi platform
Infoster E-commerce,E-commerce,Grocery,Mumbai,"Tiger Global, SoftBank, Accel",Series H,$316M,2023-11-09,$316M,"Tiger Global, SoftBank, Accel",N/A,Market leader,Leading grocery platform
Nextzone Foodtech,Foodtech,Cloud Kitchen,Gurgaon,Temasek,Series H,$899M,2023-05-27,$899M,Temasek,N/A,Strong growth,Leading cloud kitchen platform
Techdrive Fintech,Fintech,Payments,Chennai,Temasek,Series B,$220M,2023-04-05,$220M,Temasek,N/A,Strong growth,Leading payments platform
Quickly Edtech,Edtech,Professional Education,Chennai,"Blackstone, Sequoia",Series J,$332M,2023-05-08,$332M,"Blackstone, Sequoia",N/A,Strong growth,Leading professional education platform
Goworks Edtech,Edtech,Coding Education,Bengaluru,"Prosus, SoftBank",Series J,$880M,2023-12-06,$880M,"Prosus, SoftBank",N/A,Loss narrowing,Leading coding education platform
Techlabs Logistics,Logistics,Supply Chain,Delhi,Tiger Global,Series E,$697M,2023-07-12,$697M,Tiger Global,N/A,Market leader,Leading supply chain platform
Primeworks Edtech,Edtech,Professional Education,Pune,"Accel, SoftBank",Series G,$566M,2023-11-16,$566M,"Accel, SoftBank",N/A,Strong growth,Leading professional education platform
Quickbase Logistics,Logistics,Supply Chain,Mumbai,"Temasek, Tiger Global",Series H,$708M,2023-01-18,$708M,"Temasek, Tiger Global",N/A,Strong growth,Leading supply chain platform
Netlabs Logistics,Logistics,Parcel Delivery,Bengaluru,"TPG, Temasek",Seed,$786M,2023-11-21,$786M,"TPG, Temasek",N/A,Loss narrowing,Leading parcel delivery platform
Gobase Services,Services,Home Services,Hyderabad,"Accel, TPG",Series A,$999M,2023-05-22,$999M,"Accel, TPG",N/A,Profitability,Leading home services platform
Godrive Retail,Retail,Furniture,Pune,"TPG, Prosus, Lightspeed",Series C,$787M,2023-08-14,$787M,"TPG, Prosus, Lightspeed",N/A,Profitability,Leading furniture platform
Dataly Retail,Retail,Furniture,Noida,"Tiger Global, Blackstone, Accel",Series A,$394M,2023-04-21,$394M,"Tiger Global, Blackstone, Accel",N/A,Market leader,Leading furniture platform
Infozone Foodtech,Foodtech,Online Food Delivery,Gurgaon,Blackstone,Series D,$838M,2023-07-07,$838M,Blackstone,N/A,Strong growth,Leading online food delivery platform
Infolabs E-commerce,E-commerce,Baby Products,Gurgaon,KKR,Series H,$978M,2023-06-05,$978M,KKR,N/A,Market leader,Leading baby products platform
Primehub Foodtech,Foodtech,Cloud Kitchen,Chennai,"TPG, Prosus",Series A,$788M,2023-02-15,$788M,"TPG, Prosus",N/A,Loss narrowing,Leading cloud kitchen platform
Easydrive Healthtech,Healthtech,AI Diagnostics,Delhi,Accel,Seed,$398M,2023-05-04,$398M,Accel,N/A,Strong growth,Leading ai diagnostics platform
Smartify Edtech,Edtech,Professional Education,Delhi,"Temasek, Tiger Global, TPG",Series H,$224M,2023-11-17,$224M,"Temasek, Tiger Global, TPG",N/A,Loss narrowing,Leading professional education platform
Primedrive Mobility,Mobility,Electric Vehicles,Pune,"SoftBank, Tiger Global",Series J,$325M,2023-04-02,$325M,"SoftBank, Tiger Global",N/A,Profitability,Leading electric vehicles platform
Techster Foodtech,Foodtech,Meal Kits,Chennai,"Accel, Sequoia",Series H,$923M,2023-10-21,$923M,"Accel, Sequoia",N/A,Market leader,Leading meal kits platform
Smartpoint Healthtech,Healthtech,Fitness & Wellness,Bengaluru,"SoftBank, Prosus, Accel",Series B,$376M,2023-06-21,$376M,"SoftBank, Prosus, Accel",N/A,Market leader,Leading fitness & wellness platform
Techdrive Foodtech,Foodtech,Meat Delivery,Gurgaon,Lightspeed,Series J,$941M,2023-06-11,$941M,Lightspeed,N/A,Loss narrowing,Leading meat delivery platform
Netify Edtech,Edtech,Online Learning,Hyderabad,Sequoia,Series F,$381M,2023-02-16,$381M,Sequoia,N/A,Loss narrowing,Leading online learning platform
Godrive Fintech,Fintech,Wealth Management,Noida,"Prosus, Accel, KKR",Series G,$903M,2023-04-26,$903M,"Prosus, Accel, KKR",N/A,Market leader,Leading wealth management platform
Dataworks Retail,Retail,Eyewear,Chennai,"Sequoia, Blackstone, Temasek",Series F,$219M,2023-11-15,$219M,"Sequoia, Blackstone, Temasek",N/A,Profitability,Leading eyewear platform
Techzone Foodtech,Foodtech,Meal Kits,Hyderabad,"Lightspeed, Accel",Series D,$825M,2023-03-16,$825M,"Lightspeed, Accel",N/A,Market leader,Leading meal kits platform
Infobase E-commerce,E-commerce,Baby Products,Delhi,"Prosus, Temasek, Sequoia",Series E,$852M,2023-09-20,$852M,"Prosus, Temasek, Sequoia",N/A,Loss narrowing,Leading baby products platform
Quickly Foodtech,Foodtech,Meal Kits,Bengaluru,"Prosus, TPG",Series B,$465M,2023-11-05,$465M,"Prosus, TPG",N/A,Profitability,Leading meal kits platform
Smarthub Fintech,Fintech,Lending,Hyderabad,"Blackstone, SoftBank, Lightspeed",Series C,$824M,2023-07-25,$824M,"Blackstone, SoftBank, Lightspeed",N/A,Profitability,Leading lending platform
Easyworks Edtech,Edtech,Online Learning,Gurgaon,SoftBank,Series F,$451M,2023-03-21,$451M,SoftBank,N/A,Market leader,Leading online learning platform
Datahub Fintech,Fintech,Stock Trading,Mumbai,"SoftBank, KKR",Series G,$649M,2023-11-22,$649M,"SoftBank, KKR",N/A,Profitability,Leading stock trading platform
Networks Fintech,Fintech,Cryptocurrency,Gurgaon,Prosus,Series G,$594M,2023-10-24,$594M,Prosus,N/A,Loss narrowing,Leading cryptocurrency platform
Quickdrive Consumer,Consumer Electronics,Audio Devices,Chennai,"Lightspeed, Accel, KKR",Series C,$886M,2023-08-09,$886M,"Lightspeed, Accel, KKR",N/A,Market leader,Leading audio devices platform
Techify Fintech,Fintech,Cryptocurrency,Gurgaon,"Blackstone, SoftBank, KKR",Series D,$299M,2023-06-04,$299M,"Blackstone, SoftBank, KKR",N/A,Market leader,Leading cryptocurrency platform
Datahub Logistics,Logistics,Trucking,Hyderabad,SoftBank,Series E,$920M,2023-01-04,$920M,SoftBank,N/A,Profitability,Leading trucking platform
Networks Fintech,Fintech,Insurtech,Delhi,Sequoia,Series H,$618M,2023-11-15,$618M,Sequoia,N/A,Market leader,Leading insurtech platform
Quickworks Fintech,Fintech,Payments,Hyderabad,"KKR, TPG",Series J,$806M,2023-05-20,$806M,"KKR, TPG",N/A,Market leader,Leading payments platform
Nextpoint Edtech,Edtech,Coding Education,Gurgaon,"Sequoia, Temasek, Tiger Global",Series H,$432M,2023-08-21,$432M,"Sequoia, Temasek, Tiger Global",N/A,Profitability,Leading coding education platform
Primezone Fintech,Fintech,Stock Trading,Bengaluru,"Temasek, KKR, SoftBank",Series C,$353M,2023-09-23,$353M,"Temasek, KKR, SoftBank",N/A,Profitability,Leading stock trading platform
